model,key,image,category,word_P,word_R,word_F1,char_sim,vl_tables,model_tables,table_recall
PP-OCRv6_medium,ocrv6_medium,original_001.jpg,original,0.9192546583850931,0.9024390243902439,0.9107692307692308,0.3706013363028953,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,original_002.jpg,original,0.9389312977099237,0.924812030075188,0.9318181818181818,0.8088829071332436,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,original_003.jpg,original,0.9629629629629629,0.9043478260869565,0.9327354260089685,0.3922095366017461,0,0,
PP-OCRv6_medium,ocrv6_medium,original_004.jpg,original,0.9487179487179487,0.925,0.9367088607594937,0.8765586034912718,0,0,
PP-OCRv6_medium,ocrv6_medium,original_005.jpg,original,0.8166666666666667,0.7101449275362319,0.7596899224806202,0.1584832280019446,0,0,
PP-OCRv6_medium,ocrv6_medium,original_006.jpg,original,0.9851485148514851,0.9925187032418953,0.9888198757763975,0.7102619008400592,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,original_007.jpg,original,0.8770949720670391,0.98125,0.9262536873156343,0.5920979410127991,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,original_008.jpg,original,0.912751677852349,0.8888888888888888,0.9006622516556291,0.9518958687040181,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,original_009.jpg,original,0.8048780487804879,0.8301886792452831,0.8173374613003096,0.6011163589523401,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,original_010.jpg,original,0.9117647058823529,0.9117647058823529,0.9117647058823528,0.8962213943587014,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,original_011.jpg,original,1.0,1.0,1.0,0.48698884758364314,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,report_01.jpg,report,0.449438202247191,0.36036036036036034,0.39999999999999997,0.3624901497241923,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,report_02.jpg,report,0.7025862068965517,1.0,0.8253164556962026,0.7781402936378466,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,report_03.jpg,report,0.9592875318066157,0.9766839378238342,0.9679075738125803,0.13438279900172778,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,report_04.jpg,report,1.0,1.0,1.0,1.0,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,report_05.jpg,report,0.8805031446540881,0.8695652173913043,0.8749999999999999,0.6586102719033232,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,report_06.jpg,report,0.5670731707317073,0.9789473684210527,0.7181467181467182,0.14927184466019416,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,report_07.jpg,report,1.0,1.0,1.0,1.0,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,report_08.jpg,report,0.8536585365853658,0.9722222222222222,0.9090909090909091,0.21270521056388295,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,report_09.jpg,report,0.8543689320388349,0.6055045871559633,0.7087248322147651,0.10676640598435906,3,0,0.0
PP-OCRv6_medium,ocrv6_medium,report_10.jpg,report,0.8618421052631579,0.6735218508997429,0.7561327561327561,0.8091828138163437,1,0,0.0
